Negativity_Class_0,Negativity_Class_1,Negativity_Class_2,Negativity_Class_3,Negativity_Class_4
0.3323747075819076,0.33329021529921143,0.329394857720633,0.25394824315209236,0.30450355533951246
0.3246051491714594,0.325353662238598,0.3217747467680154,0.24979392206357787,0.2975968582081101
0.324502206878602,0.32512749952615655,0.3218403059850292,0.2510919068097023,0.2978579917179741
0.33123217051020937,0.3320473364263899,0.32906980700978034,0.2567600990788438,0.3041965180409151
0.3291367754066634,0.32990381555827236,0.32599813460343774,0.25269414305933324,0.30182449057421423
0.3305749710047422,0.3312439614195125,0.3282712775252766,0.2550795080154764,0.30227050073443784
0.32978099034509323,0.3305159816273587,0.32653389277761125,0.25262752085967294,0.3031669817842994
0.3244631299285079,0.3251202179476115,0.3223060193207974,0.2502435938506318,0.29824728578609366
0.3204669998813284,0.3211332398487731,0.3178158973937578,0.24649094316060527,0.29612696548200534
0.32634412020281073,0.32738272147015507,0.3237859676733918,0.2516461524918608,0.3003722927671796
0.3293069316332041,0.3301910992433722,0.32597873751532447,0.2503013444524903,0.3034087016515032
0.3287808536162339,0.32945695624435534,0.3257635193983867,0.2524880597074932,0.3000986619911289
0.3301726071865824,0.33106314881351534,0.32728097863780276,0.2508900561571494,0.3017265113568387
0.3294936434343098,0.3305563251071429,0.32696568783852653,0.2521395536458314,0.3039831424237002
0.3312627127679323,0.33185906309323643,0.328484254400329,0.25285980360899085,0.3039656462522612
0.33147753361689614,0.332185692392667,0.32855815077308614,0.25341502030876334,0.3048096616622416
0.3246937344378614,0.3255130731793279,0.32207645787394296,0.25001573409018896,0.29707648349726307
0.33101799766951456,0.3320407202106693,0.3285712286936479,0.25255415025837497,0.3060636711952841
0.32831001426043704,0.32884663724244323,0.3257777008005741,0.2549509969086956,0.3008536285932705
0.3283719991974482,0.3288424234685552,0.32552540346384945,0.25270601529514186,0.3019638708974222
0.32928965366744983,0.3301700218561182,0.32661367313760875,0.2530799296890951,0.3014666757905847
0.32899401603322137,0.3296734288669644,0.326430984979171,0.2524180462724684,0.2988248101751524
0.332147880264927,0.33282827093917033,0.3299584297315821,0.25436127231797007,0.3028102206671554
0.332157559723781,0.3330357164070642,0.3292639532509939,0.2537789448816561,0.30614935660059706
0.32977736077593406,0.3306618734442149,0.3271055082816746,0.2512962297706698,0.3035524235628789
0.3342498871094561,0.3348925530246282,0.3316761519532232,0.2596188806966626,0.30771422833796125
0.3317765075675686,0.33265478353100636,0.3293152171662826,0.25500199906321014,0.3040655979796891
0.32484351811171513,0.3255961013762766,0.322159080979577,0.2485594249289549,0.29655717558694755
0.32973960605400265,0.3305575526458767,0.3265269423836525,0.2525148827775151,0.30310643001194304
0.3270347152484574,0.3277716370365885,0.3245086399080927,0.25145762812971467,0.3000148790895149
