Arquivo,Max_Accuracy,Max_F1_Scores
IQCNDsE_Coluna_circles_metrics_results_2025-09-09_14-51-27,0.5,0.4101351219745053
IQCNDsE_Linha_circles_metrics_results_2025-09-09_13-26-51,0.5033333333333333,0.4186951321097114
IQCpQ_tgt2_Coluna_circles_metrics_results_2025-09-21_16-22-00,0.5033333333333333,0.3826935895726011
IQCpQ_tgt2_Linha_circles_metrics_results_2025-09-05_18-36-12,0.5,0.3732297134654282
IQCpQ_tgt4_Coluna_circles_metrics_results_2025-09-19_08-37-37,0.5133333333333333,0.3757363890091097
IQCpQ_tgt4_Linha_circles_metrics_results_2025-09-19_04-44-29,0.4966666666666667,0.3596840152551507
IQC_AIL_Coluna_circles_metrics_results_2025-09-05_14-20-16,0.5,0.4310883546659774
IQC_AIL_Linha_circles_metrics_results_2025-09-05_13-02-37,0.49,0.409718496454014
IQC_Angle_Coluna_circles_metrics_results_2025-09-09_12-02-25,0.5,0.3333333333333333
IQC_Angle_Linha_circles_metrics_results_2025-09-23_15-28-24,0.5,0.3333333333333333
IQC_Coluna_circles_metrics_results_2025-09-05_16-55-35,0.5,0.4310883546659774
IQC_Linha_circles_metrics_results_2025-09-05_15-38-32,0.49,0.409718496454014
