Modelo,Media_Accuracy,Max_Accuracy,Min_Accuracy,Std_Accuracy,Media_F1_Scores,Max_F1_Scores,Min_F1_Scores,Std_F1_Scores
IQCNDsE_Coluna,0.7705555555555554,0.7933333333333334,0.7533333333333333,0.011315175898739389,0.7690393794909577,0.7925361743527761,0.7507184082711549,0.011638603933037108
IQCNDsE_Linha,0.7725555555555554,0.7966666666666666,0.74,0.015577843911950181,0.7707313600977899,0.795538165256725,0.7363277812348533,0.01596832966379734
IQCpQ_tgt2_Coluna,0.5908888888888888,0.6033333333333333,0.5799999999999998,0.006944406130162494,0.5503378474507339,0.5646307562893487,0.537600374067571,0.007648901968028946
IQCpQ_tgt2_Linha,0.6172222222222221,0.6300000000000001,0.6,0.007534509791839177,0.5780929383671485,0.5945480856745019,0.5590901468383876,0.008964957007626496
IQC_AIL_Coluna,0.8337777777777776,0.8366666666666667,0.8300000000000001,0.002096034082766153,0.8285701795311263,0.8322887489959101,0.8238254066195243,0.00202737945130008
IQC_AIL_Linha,0.8592222222222222,0.8633333333333335,0.8533333333333335,0.0027240005138562695,0.8574714303848036,0.8622485126680557,0.8514253453745126,0.0028982931472285867
IQC_Angle_Coluna,0.5,0.5,0.5,0.0,0.3333333333333334,0.3333333333333333,0.3333333333333333,1.1292025708167404e-16
IQC_Angle_Linha,0.5,0.5,0.5,0.0,0.3333333333333334,0.3333333333333333,0.3333333333333333,1.1292025708167404e-16
IQC_Coluna,0.8337777777777776,0.8366666666666667,0.8300000000000001,0.002096034082766153,0.8285701795311263,0.8322887489959101,0.8238254066195243,0.00202737945130008
IQC_Linha,0.8592222222222222,0.8633333333333335,0.8533333333333335,0.0027240005138562695,0.8574714303848036,0.8622485126680557,0.8514253453745126,0.0028982931472285867
